1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
166	-0.682040	87.361148	29.730897	0.022092	0.7
167	-0.682812	88.361148	29.459037	0.027332	0.7
168	-0.684775	87.558366	29.676885	0.025095	0.7
169	-0.697896	88.558366	29.406007	0.024201	0.7
170	-0.708938	89.558366	29.140030	0.031192	0.7
171	-0.719492	90.558366	28.878821	0.017213	0.7
172	-0.691389	89.755609	29.088135	0.019681	0.8
173	-0.692174	88.958589	29.298976	0.026268	0.7
174	-0.723302	88.156363	29.514304	0.029538	0.7
175	-0.670127	89.156363	29.246373	0.026377	0.7
176	-0.699897	90.156263	28.983289	0.023123	0.7
177	-0.670440	91.156228	28.724879	0.025722	0.7
178	-0.697864	90.353472	28.931959	0.024460	0.7
179	-0.688820	91.353472	28.674451	0.027403	0.7
180	-0.664632	92.353134	28.421570	0.023014	0.7
181	-0.709134	93.353134	28.173028	0.029242	0.7
182	-0.682571	94.353134	27.928795	0.023860	0.7
183	-0.710898	95.353134	27.688761	0.021786	0.7
184	-0.709404	96.352691	27.452920	0.024720	0.7
185	-0.715807	95.549909	27.642013	0.024623	0.8
186	-0.709193	96.549909	27.406862	0.019151	2.8
187	-0.715593	97.549872	27.175686	0.017578	0.8
188	-0.742023	96.762943	27.357282	0.023239	0.7
189	-0.695394	97.762943	27.126930	0.025271	0.8
190	-0.706040	98.762943	26.900425	0.021696	0.7
191	-0.698355	99.762943	26.677671	0.024322	0.7
192	-0.683052	100.762943	26.458576	0.030247	0.7
193	-0.719350	101.762943	26.243050	0.030052	0.7
194	-0.699628	100.960161	26.415791	0.019094	0.7
195	-0.734894	101.960161	26.200959	0.026643	0.7
196	-0.698796	102.960161	25.989593	0.031239	0.7
197	-0.738174	103.960161	25.781610	0.026070	0.7
198	-0.689908	104.960161	25.576929	0.026367	0.7
199	-0.695167	104.157378	25.740984	0.026674	0.7
200	-0.742282	105.157378	25.536945	0.025437	0.7
201	-0.711193	106.157378	25.336116	0.024076	0.7
202	-0.689168	107.157378	25.138421	0.026864	0.7
203	-0.736716	106.354596	25.296881	0.020002	0.7
204	-0.673523	107.354596	25.099795	0.026138	0.7
205	-0.731238	106.551814	25.257768	0.026179	0.6
206	-0.712353	107.551814	25.061288	0.025190	0.7
207	-0.715301	108.551579	24.867887	0.028409	0.7
208	-0.699872	109.551579	24.677404	0.019281	0.7
209	-0.706652	108.755439	24.828817	0.020933	0.7
210	-0.707962	107.952657	24.983387	0.026288	0.7
211	-0.711145	108.952655	24.791137	0.028550	0.7
212	-0.706813	109.952655	24.601823	0.028161	0.6
213	-0.688442	110.952655	24.415379	0.025981	0.7
214	-0.749959	111.952655	24.231739	0.027391	0.7
215	-0.708796	112.952495	24.050870	0.021603	0.7
216	-0.723446	112.149713	24.195877	0.021873	0.7
217	-0.726405	111.346931	24.342643	0.024929	0.7
218	-0.715242	110.544149	24.491200	0.029923	0.9
219	-0.734785	111.544149	24.306423	0.021550	0.9
220	-0.729213	112.544149	24.124412	0.027690	0.8
221	-0.696211	112.093532	24.206090	0.022745	0.8
222	-0.704801	113.034296	24.036192	0.026166	0.7
223	-0.662338	114.034296	23.858191	0.026409	0.8
224	-0.685571	113.419094	23.967384	0.025786	0.7
225	-0.713643	114.415842	23.790969	0.021456	1.0
226	-0.712098	115.415842	23.616569	0.022087	0.8
227	-0.700099	116.415842	23.444706	0.021251	0.7
228	-0.706459	116.865626	23.368219	0.024732	0.7
229	-0.764177	117.865623	23.199940	0.023386	0.7
230	-0.701828	118.865623	23.034067	0.021585	0.7
231	-0.708488	118.063156	23.166985	0.022804	0.7
232	-0.711557	118.891454	23.029813	0.021101	0.7
233	-0.706927	118.088672	23.162735	0.019009	0.7
234	-0.741524	117.285890	23.297200	0.026386	0.7
235	-0.719688	118.285758	23.129960	0.025645	0.7
236	-0.713698	119.285758	22.965083	0.020505	0.7
237	-0.717063	118.482977	23.097256	0.028216	0.7
238	-0.748730	117.680924	23.230838	0.022292	0.7
239	-0.694449	118.680924	23.064524	0.021866	0.7
240	-0.679034	118.685861	23.063709	0.025466	0.7
241	-0.732262	119.685860	22.899772	0.022006	0.6
242	-0.743455	120.685860	22.738148	0.022170	0.7
243	-0.731512	121.685860	22.578790	0.025206	0.9
244	-0.679035	122.685860	22.421650	0.026585	0.8
245	-0.736410	123.685856	22.266683	0.023517	0.7
246	-0.727976	124.685856	22.113843	0.025792	0.8
247	-0.692711	125.685856	21.963086	0.030079	0.7
248	-0.711494	124.884692	22.083702	0.022409	0.7
249	-0.727748	125.884692	21.933355	0.024567	0.7
250	-0.742935	126.884684	21.785042	0.024561	0.8
251	-0.707920	127.884684	21.638721	0.025895	0.9
252	-0.725698	128.884657	21.494355	0.024512	0.7
253	-0.759631	129.884657	21.351900	0.020778	0.7
254	-0.683291	129.777749	21.367039	0.025292	0.7
255	-0.731343	128.976262	21.481227	0.020049	0.7
256	-0.745484	129.974288	21.339224	0.028152	0.8
257	-0.750106	130.974288	21.198810	0.022803	0.7
258	-0.723181	131.974288	21.060233	0.022701	0.7
259	-0.710566	132.972864	20.923648	0.026865	0.7
260	-0.708791	133.972864	20.788634	0.021270	0.7
261	-0.756421	133.513152	20.850485	0.028470	0.7
262	-0.756380	134.513152	20.716409	0.025228	0.7
263	-0.738496	135.513152	20.584047	0.022105	0.7
264	-0.735246	135.852752	20.539481	0.028607	0.7
265	-0.758157	135.049970	20.645144	0.026631	0.7
266	-0.723817	136.049970	20.513688	0.023674	0.7
267	-0.736230	137.049970	20.383896	0.020770	0.7
268	-0.697350	138.049970	20.255735	0.030902	0.7
269	-0.737630	139.049970	20.129176	0.020708	0.6
270	-0.697362	139.965069	20.014740	0.022683	0.7
271	-0.695363	139.162287	20.115060	0.022712	0.7
272	-0.725782	140.162287	19.990248	0.022766	0.7
273	-0.731347	141.125685	19.871460	0.028188	0.7
274	-0.723733	140.322902	19.970345	0.026823	0.7
275	-0.715191	139.520120	20.070220	0.027632	0.7
276	-0.716973	138.717338	20.171098	0.023585	0.7
277	-0.729873	139.717338	20.045591	0.024779	0.7
278	-0.710987	139.566081	20.064475	0.024605	0.7
279	-0.755179	138.806812	20.159804	0.021887	0.7
280	-0.709689	139.806811	20.034438	0.024056	0.7
281	-0.722108	140.806811	19.910621	0.028268	0.7
282	-0.719297	141.804704	19.788581	0.025931	0.7
283	-0.718344	142.804704	19.667775	0.024662	0.7
284	-0.720487	142.002167	19.764609	0.025629	0.7
285	-0.709037	143.002167	19.644095	0.022625	0.7
286	-0.736874	144.002159	19.525042	0.023324	0.7
287	-0.756367	145.002159	19.407423	0.022389	0.7
288	-0.714854	146.002159	19.291212	0.018515	0.7
